Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nathan MacKinnon (14425816),Nathan MacKinnon,14425816,C/UTIL,8500,COL@SJ 03/08/2020 10:00PM ET,COL,17.83
G,Andrei Vasilevskiy (14426650),Andrei Vasilevskiy,14426650,G,8200,TB@DET 03/08/2020 05:00PM ET,TB,16.06
RW,Patrick Kane (14425996),Patrick Kane,14425996,W/UTIL,8100,STL@CHI 03/08/2020 07:30PM ET,CHI,15.14
RW,Nikita Kucherov (14425998),Nikita Kucherov,14425998,W/UTIL,8000,TB@DET 03/08/2020 05:00PM ET,TB,13.79
G,Curtis McElhinney (14426652),Curtis McElhinney,14426652,G,8000,TB@DET 03/08/2020 05:00PM ET,TB,13.68
G,Thatcher Demko (14426651),Thatcher Demko,14426651,G,8000,CLS@VAN 03/08/2020 10:00PM ET,VAN,12.57
LW,Max Pacioretty (14426000),Max Pacioretty,14426000,W/UTIL,7900,VGK@CGY 03/08/2020 07:00PM ET,VGK,14.94
G,Alex Stalock (14426654),Alex Stalock,14426654,G,7900,MIN@ANH 03/08/2020 09:00PM ET,MIN,13.37
G,Devan Dubnyk (14426656),Devan Dubnyk,14426656,G,7900,MIN@ANH 03/08/2020 09:00PM ET,MIN,9.73
G,Philipp Grubauer (14426653),Philipp Grubauer,14426653,G,7900,COL@SJ 03/08/2020 10:00PM ET,COL,14.19
G,Pavel Francouz (14426655),Pavel Francouz,14426655,G,7900,COL@SJ 03/08/2020 10:00PM ET,COL,15.61
LW,Steven Stamkos (14426002),Steven Stamkos,14426002,W/UTIL,7800,TB@DET 03/08/2020 05:00PM ET,TB,14.02
G,Louis Domingue (14426657),Louis Domingue,14426657,G,7800,CLS@VAN 03/08/2020 10:00PM ET,VAN,6.7
G,Jacob Markstrom (14426658),Jacob Markstrom,14426658,G,7800,CLS@VAN 03/08/2020 10:00PM ET,VAN,16.15
G,Jordan Binnington (14426659),Jordan Binnington,14426659,G,7700,STL@CHI 03/08/2020 07:30PM ET,STL,13.86
G,David Rittich (14426660),David Rittich,14426660,G,7700,VGK@CGY 03/08/2020 07:00PM ET,CGY,13.68
G,Cam Talbot (14426661),Cam Talbot,14426661,G,7700,VGK@CGY 03/08/2020 07:00PM ET,CGY,14.44
G,Michael Hutchinson (14426662),Michael Hutchinson,14426662,G,7700,COL@SJ 03/08/2020 10:00PM ET,COL,8.97
G,Corey Crawford (14426663),Corey Crawford,14426663,G,7600,STL@CHI 03/08/2020 07:30PM ET,CHI,14.54
G,Marc-Andre Fleury (14426664),Marc-Andre Fleury,14426664,G,7600,VGK@CGY 03/08/2020 07:00PM ET,VGK,12.62
G,Robin Lehner (14426665),Robin Lehner,14426665,G,7600,VGK@CGY 03/08/2020 07:00PM ET,VGK,17.77
G,Jake Allen (14426666),Jake Allen,14426666,G,7500,STL@CHI 03/08/2020 07:30PM ET,STL,13.81
D,Brent Burns (14426360),Brent Burns,14426360,D/UTIL,7500,COL@SJ 03/08/2020 10:00PM ET,SJ,12.21
G,Malcolm Subban (14426668),Malcolm Subban,14426668,G,7400,STL@CHI 03/08/2020 07:30PM ET,CHI,9.63
RW,Mark Stone (14426004),Mark Stone,14426004,W/UTIL,7400,VGK@CGY 03/08/2020 07:00PM ET,VGK,11.69
G,Martin Jones (14426667),Martin Jones,14426667,G,7400,COL@SJ 03/08/2020 10:00PM ET,SJ,10.74
