C,C,W,W,W,D,D,G,UTIL
Nathan MacKinnon (14425816),Mikko Koivu (14425896),Zach Parise (14426056),Blake Coleman (14426050),Mats Zuccarello (14426104),Mark Giordano (14426372),Erik Gustafsson (14426442),Robin Lehner (14426665),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Tomas Nosek (14425902),Zach Parise (14426056),Timo Meier (14426048),Mats Zuccarello (14426104),Mark Giordano (14426372),Erik Gustafsson (14426442),Robin Lehner (14426665),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Brayden Point (14425820),Zach Parise (14426056),Alex DeBrincat (14426052),Ryan Donato (14426134),Erik Gustafsson (14426442),Michael Stone (14426476),Robin Lehner (14426665),Nikita Kucherov (14425998)
Nathan MacKinnon (14425816),Tomas Nosek (14425902),Zach Parise (14426056),Timo Meier (14426048),Yanni Gourde (14426120),Victor Hedman (14426366),Erik Gustafsson (14426442),Robin Lehner (14426665),Nikita Kucherov (14425998)
Brayden Point (14425820),Sean Monahan (14425834),Zach Parise (14426056),Timo Meier (14426048),Yanni Gourde (14426120),Shea Theodore (14426370),Michael Stone (14426476),Robin Lehner (14426665),Nikita Kucherov (14425998)
Brayden Point (14425820),Luke Kunin (14425862),Nikita Kucherov (14425998),Zach Parise (14426056),Alex DeBrincat (14426052),Slater Koekkoek (14426488),Adam Boqvist (14426490),Robin Lehner (14426665),Nathan MacKinnon (14425816)
Sean Monahan (14425834),Mikko Koivu (14425896),Johnny Gaudreau (14426022),Zach Parise (14426056),Mats Zuccarello (14426104),Victor Hedman (14426366),Matt Dumba (14426392),Robin Lehner (14426665),Nikita Kucherov (14425998)
Brayden Point (14425820),Valtteri Filppula (14425892),Nikita Kucherov (14425998),Johnny Gaudreau (14426022),Zach Parise (14426056),Brad Hunt (14426464),Slater Koekkoek (14426488),Robin Lehner (14426665),Patrick Kane (14425996)
Logan Couture (14425830),Ryan Getzlaf (14425850),Nikita Kucherov (14425998),Rickard Rakell (14426044),Blake Coleman (14426050),Michael Stone (14426476),Adam Boqvist (14426490),Pavel Francouz (14426655),Patrick Kane (14425996)
Dylan Larkin (14425818),Sean Monahan (14425834),Alex DeBrincat (14426052),Zach Parise (14426056),Yanni Gourde (14426120),Victor Hedman (14426366),Slater Koekkoek (14426488),Robin Lehner (14426665),Nikita Kucherov (14425998)
Sean Monahan (14425834),Tomas Nosek (14425902),Johnny Gaudreau (14426022),Blake Coleman (14426050),Zach Parise (14426056),Alexander Edler (14426374),Erik Johnson (14426408),Robin Lehner (14426665),Nikita Kucherov (14425998)
Logan Couture (14425830),Sean Monahan (14425834),Jaden Schwartz (14426034),Rickard Rakell (14426044),Ryan Donato (14426134),Victor Hedman (14426366),Zach Bogosian (14426484),Pavel Francouz (14426655),Nikita Kucherov (14425998)
Dylan Larkin (14425818),Ryan Getzlaf (14425850),Alex DeBrincat (14426052),Blake Coleman (14426050),Drake Caggiula (14426138),Alex Pietrangelo (14426364),Brad Hunt (14426464),Jordan Binnington (14426659),Nathan MacKinnon (14425816)
Dylan Larkin (14425818),Brandon Sutter (14425890),Johnny Gaudreau (14426022),Alex DeBrincat (14426052),Mats Zuccarello (14426104),Victor Hedman (14426366),Slater Koekkoek (14426488),Pavel Francouz (14426655),Nathan MacKinnon (14425816)
Pierre-Luc Dubois (14425838),Ryan Getzlaf (14425850),Johnny Gaudreau (14426022),Alex DeBrincat (14426052),Drake Caggiula (14426138),Alexander Edler (14426374),Kevin Shattenkirk (14426422),Corey Crawford (14426663),Nathan MacKinnon (14425816)
Dylan Larkin (14425818),Luke Kunin (14425862),Johnny Gaudreau (14426022),Timo Meier (14426048),Yanni Gourde (14426120),Mark Giordano (14426372),Zach Bogosian (14426484),Jordan Binnington (14426659),Patrick Kane (14425996)
Dylan Larkin (14425818),Dylan Strome (14425860),Alex DeBrincat (14426052),Blake Coleman (14426050),Drake Caggiula (14426138),Victor Hedman (14426366),Ryan Murray (14426416),Robin Lehner (14426665),Patrick Kane (14425996)
Sean Monahan (14425834),Tomas Nosek (14425902),Jaden Schwartz (14426034),Alex DeBrincat (14426052),Drake Caggiula (14426138),Alex Pietrangelo (14426364),Shea Theodore (14426370),Corey Crawford (14426663),Nikita Kucherov (14425998)
Brayden Point (14425820),Tomas Nosek (14425902),Jakob Silfverberg (14426046),Zach Parise (14426056),Stefan Matteau (14426092),Victor Hedman (14426366),Ryan Murray (14426416),Jordan Binnington (14426659),Nathan MacKinnon (14425816)
Dylan Strome (14425860),Luke Kunin (14425862),Evander Kane (14426020),Gustav Nyquist (14426064),Stefan Matteau (14426092),Alex Pietrangelo (14426364),Vince Dunn (14426430),Pavel Francouz (14426655),Nathan MacKinnon (14425816)
